frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
155,1772788245.715468,510.6534,254.0509,430.4199,89.7579,561.5236,-53.2273,89.0110,-52.3734,1057.6073,118.8810,691.1102
156,1772788245.847661,513.0425,251.5797,430.3062,89.0484,560.7026,-52.6923,89.0554,-51.8822,1058.6211,117.1568,691.1722
157,1772788245.983293,515.6146,248.6454,430.2051,88.3575,559.9889,-52.1173,89.0994,-51.3113,1056.3866,115.1882,691.3861
158,1772788246.115446,518.1583,246.7301,430.1059,87.6703,559.3208,-51.4272,89.1438,-50.6711,1061.3147,113.7559,692.5313
159,1772788246.251436,519.9412,244.7620,430.0170,86.9887,558.7000,-50.6602,89.1893,-49.9123,1058.2474,112.0950,691.8626
160,1772788246.387422,522.8751,242.7578,429.9309,86.3098,558.1243,-49.7324,89.2356,-49.0243,1057.3433,110.1554,691.9723
161,1772788246.519305,525.9658,240.7071,429.8568,85.6407,557.6401,-48.7236,89.2807,-48.0144,1057.1565,107.9176,692.0554
162,1772788246.655303,528.4070,239.4351,429.7917,85.0146,557.2046,-47.5114,89.3260,-46.8316,1053.3229,106.4881,691.3722
163,1772788246.787536,530.9304,238.1020,429.7343,84.3815,556.8246,-46.1537,89.3694,-45.5067,1058.1495,104.7179,692.2870
164,1772788246.923254,533.0214,237.3422,429.6836,83.7606,556.5033,-44.5528,89.4137,-43.8608,1058.4554,102.5670,692.2247
165,1772788247.055381,536.2643,236.5275,429.6504,83.2408,556.2377,-42.7094,89.4567,-42.0435,1056.1650,100.8258,691.6316
166,1772788247.191193,537.8726,236.3687,429.6087,82.5277,556.0181,-40.3997,89.5005,-39.7470,1060.1123,99.3629,692.1320
167,1772788247.327718,541.4402,234.5921,429.5838,81.9237,555.8498,-37.7876,89.5415,-37.1124,1057.4657,96.3834,691.9806
168,1772788247.459638,543.2354,233.9809,429.5679,81.3264,555.7365,-34.5397,89.5823,-33.7893,1056.0177,94.4559,691.6755
169,1772788247.595283,546.4581,233.2000,429.5580,80.7145,555.6716,-30.7180,89.6213,-29.8347,1056.0904,91.8412,691.8020
170,1772788247.727315,548.7205,232.6522,429.5574,80.1129,555.6607,-25.9903,89.6572,-25.1034,1059.5640,88.9254,692.4678
171,1772788247.863230,550.3461,232.4702,429.5653,79.4987,555.7016,-20.1069,89.6897,-19.1491,1054.3088,86.5899,691.3322
172,1772788247.995289,553.3113,232.9147,429.5804,78.9033,555.7927,-13.1558,89.7177,-12.1415,1058.8980,82.7950,691.8772
173,1772788248.131258,556.0734,232.8793,429.6040,78.3079,555.9339,-4.8340,89.7404,-3.3515,1059.6178,76.9011,691.9478
174,1772788248.267251,558.7840,233.4033,429.6372,77.6844,556.1331,5.0413,89.7565,6.3551,1059.5378,76.1078,691.6376
175,1772788248.399203,560.8784,234.1484,429.6761,77.0778,556.3741,15.2594,89.7641,16.5620,1058.2100,77.5769,690.9982
176,1772788248.535191,563.1985,235.3476,429.7215,76.4967,556.6674,25.7428,89.7633,27.4715,1060.0405,69.1932,690.8507
177,1772788248.667248,565.2018,235.6386,429.7756,75.8864,557.0173,35.9385,89.7547,37.1278,1059.2596,68.9196,690.6434
178,1772788248.803737,567.7123,236.8647,429.8352,75.2901,557.4145,45.0201,89.7389,46.0876,1055.0122,72.3914,689.3895
179,1772788248.935181,570.1218,238.0422,429.9009,74.6784,557.8619,52.5190,89.7190,53.3084,1058.6959,72.3703,689.7327
180,1772788249.071260,572.1105,239.7307,429.9769,74.0613,558.3651,59.0108,89.6941,59.6683,1055.2031,72.9682,688.5623
181,1772788249.207199,574.9022,241.2069,430.0560,73.4477,558.9183,64.1014,89.6676,64.5873,1057.9151,70.9042,688.6483
182,1772788249.339246,577.2090,243.3484,430.1361,72.8662,559.4850,68.0427,89.6408,68.4752,1057.2627,70.9685,687.9307
