frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
155,1772786596.880824,440.4568,382.8053,429.5831,78.8442,555.8036,-12.2246,89.7208,-11.0202,1050.1609,139.0691,619.5450
156,1772786597.016267,440.7061,382.4689,429.6062,78.2621,555.9544,-3.8230,89.7431,-2.3224,1050.4590,134.5390,619.7097
157,1772786597.151761,441.3268,382.7955,429.6404,77.6251,556.1523,6.1127,89.7577,7.5913,1051.5637,131.6153,619.6870
158,1772786597.283254,441.3774,382.8718,429.6803,77.0245,556.4052,16.4701,89.7644,18.1337,1054.2586,130.7479,619.9940
159,1772786597.419025,441.6676,383.3161,429.7280,76.4191,556.7091,27.5089,89.7625,28.7813,1050.2872,133.5219,619.6257
160,1772786597.550251,441.5695,383.4998,429.7806,75.8299,557.0527,37.0274,89.7533,38.2405,1053.3674,131.3072,620.0208
161,1772786597.685782,442.2056,383.8214,429.8439,75.1943,557.4763,46.0826,89.7368,47.0799,1050.7314,135.5246,619.9812
162,1772786597.817446,442.4636,384.6304,429.9127,74.5775,557.9392,53.6608,89.7158,54.2600,1052.9814,136.7461,620.0932
163,1772786597.952766,442.9477,385.3295,429.9873,73.9776,558.4374,59.8270,89.6903,60.4710,1048.8626,137.6209,619.8192
164,1772786598.088232,442.8150,386.5050,430.0661,73.3719,558.9869,64.6904,89.6635,65.2433,1045.1263,138.1385,619.2406
165,1772786598.219963,442.6945,387.5093,430.1498,72.7699,559.5835,68.7066,89.6362,69.0573,1048.7708,139.4294,619.7728
166,1772786598.355595,442.5585,389.0027,430.2355,72.1543,560.2349,72.0687,89.6076,72.3541,1051.6885,140.2483,619.8189
167,1772786598.487122,443.3829,390.0323,430.3278,71.5589,560.9016,74.7316,89.5796,74.9344,1049.4607,139.1511,619.7900
168,1772786598.622654,443.6625,391.3638,430.4214,70.9559,561.6306,76.9741,89.5515,77.1078,1050.4662,139.3914,619.7783
169,1772786598.754238,444.1923,392.5269,430.5155,70.3644,562.3737,78.8352,89.5240,78.8525,1049.4965,139.7357,619.9543
170,1772786598.889532,443.6773,394.2249,430.6172,69.7361,563.2058,80.4096,89.4969,80.3651,1045.5357,139.9525,619.3840
171,1772786599.025044,443.6526,396.0663,430.7102,69.1649,564.0443,81.7219,89.4706,81.6503,1048.5724,139.7070,619.7437
172,1772786599.156555,443.6085,398.1246,430.8112,68.5422,564.9011,82.7668,89.4469,82.6691,1049.3613,139.6120,619.5297
173,1772786599.292212,443.8030,399.8372,430.9179,67.8997,565.8965,83.7240,89.4223,83.5797,1048.6348,138.9796,619.3964
174,1772786599.423707,444.0907,401.4152,431.0144,67.3058,566.8114,84.4888,89.4004,84.3147,1050.0332,138.9290,619.8615
175,1772786599.559232,444.0217,403.3196,431.1125,66.6742,567.8127,85.1323,89.3783,84.9492,1049.5995,138.4703,619.6546
176,1772786599.690932,443.7060,405.4361,431.2065,66.0902,568.8022,85.6509,89.3597,85.4417,1044.8716,137.8568,619.4582
177,1772786599.826376,443.2838,408.1272,431.3049,65.4452,569.9079,86.1185,89.3405,85.8740,1049.3891,138.2913,619.3954
178,1772786599.961883,443.3984,410.2293,431.3982,64.7947,571.0324,86.4886,89.3231,86.2246,1049.2596,137.7344,619.6723
179,1772786600.093558,443.5609,412.2751,431.4898,64.1486,572.1719,86.7835,89.3073,86.4954,1049.4141,137.3740,619.5940
180,1772786600.229386,443.5261,414.4024,431.5732,63.5163,573.3402,87.0115,89.2931,86.7145,1050.6938,136.9826,620.0912
181,1772786600.360722,443.2981,417.3187,431.6536,62.8846,574.4952,87.1796,89.2808,86.8692,1046.7055,136.2493,619.3057
182,1772786600.496261,442.9026,420.0022,431.7250,62.2332,575.7209,87.3032,89.2695,86.9807,1047.1882,135.9641,619.5161
183,1772786600.627919,442.5511,422.6729,431.7932,61.5913,576.9462,87.3817,89.2598,87.0482,1050.9985,136.1772,619.5524
184,1772786600.763540,442.3152,424.8908,431.8548,60.9233,578.2365,87.4222,89.2513,87.0769,1050.8950,135.6706,620.0436
185,1772786600.899283,442.6097,427.8853,431.9119,60.2425,579.5641,87.4269,89.2445,87.0714,1048.6200,134.8599,619.5004
186,1772786601.030573,442.4948,431.1055,431.9566,59.6033,580.8742,87.3994,89.2392,87.0355,1048.5058,134.3152,619.5874
187,1772786601.166436,442.0005,433.6944,431.9977,58.8853,582.2470,87.3443,89.2354,86.9723,1045.4981,133.7101,619.2774
188,1772786601.297827,441.7281,436.1999,432.0271,58.2099,583.6091,87.2675,89.2332,86.8906,1050.9540,133.7783,620.1350
189,1772786601.433300,441.2301,439.8217,432.0486,57.4809,585.0343,87.1681,89.2324,86.7868,1049.5627,133.3985,619.4839
190,1772786601.565034,440.6014,443.1247,432.0589,56.7985,586.4224,87.0577,89.2332,86.6706,1049.9128,133.0043,619.6994
191,1772786601.700629,440.8130,445.8660,432.0588,56.0333,587.8938,86.9278,89.2357,86.5366,1048.2177,132.1158,619.6109
192,1772786601.836153,440.4396,448.8370,432.0474,55.2701,589.4125,86.7806,89.2398,86.3831,1047.3779,131.7954,619.4269
